#Solver	Datacenter	VDC	NAllocated	Runtime
fmcad13_z3_mode4	tree_200.20	vn2_3.1	-1	-1
fmcad13_z3_mode4	tree_200.20	vn2_3.2	-1	-1
fmcad13_z3_mode4	tree_200.20	vn2_3.3	-1	-1
fmcad13_z3_mode4	tree_200.20	vn2_5.1	-1	-1
fmcad13_z3_mode4	tree_200.20	vn2_5.2	-1	-1
fmcad13_z3_mode4	tree_200.20	vn2_5.3	-1	-1
fmcad13_z3_mode4	tree16_200.20	vn2_3.1	1	-1
fmcad13_z3_mode4	tree16_200.20	vn2_3.2	1	-1
fmcad13_z3_mode4	tree16_200.20	vn2_3.3	1	-1
fmcad13_z3_mode4	tree16_200.20	vn2_5.1	1	-1
fmcad13_z3_mode4	tree16_200.20	vn2_5.2	1	-1
fmcad13_z3_mode4	tree16_200.20	vn2_5.3	1	-1
fmcad13_z3_mode4	tree16_400.20	vn2_3.1	1	-1
fmcad13_z3_mode4	tree16_400.20	vn2_3.2	1	-1
fmcad13_z3_mode4	tree16_400.20	vn2_3.3	1	-1
fmcad13_z3_mode4	tree16_400.20	vn2_5.1	1	-1
fmcad13_z3_mode4	tree16_400.20	vn2_5.2	1	-1
fmcad13_z3_mode4	tree16_400.20	vn2_5.3	1	-1
fmcad13_z3_mode4	tree16_2000.20	vn2_3.1	1	-1
fmcad13_z3_mode4	tree16_2000.20	vn2_3.2	1	-1
fmcad13_z3_mode4	tree16_2000.20	vn2_3.3	1	-1
fmcad13_z3_mode4	tree16_2000.20	vn2_5.1	1	-1
fmcad13_z3_mode4	tree16_2000.20	vn2_5.2	1	-1
fmcad13_z3_mode4	tree16_2000.20	vn2_5.3	1	-1
fmcad13_z3_mode3	tree_200.20	vn2_3.1	88	51.47966
fmcad13_z3_mode3	tree_200.20	vn2_3.2	88	72.478891
fmcad13_z3_mode3	tree_200.20	vn2_3.3	88	75.261497
fmcad13_z3_mode3	tree_200.20	vn2_5.1	53	130.418757
fmcad13_z3_mode3	tree_200.20	vn2_5.2	53	122.801067
fmcad13_z3_mode3	tree_200.20	vn2_5.3	53	121.929167
fmcad13_z3_mode3	tree16_200.20	vn2_3.1	355	215.501724
fmcad13_z3_mode3	tree16_200.20	vn2_3.2	281	-1
fmcad13_z3_mode3	tree16_200.20	vn2_3.3	61	-1
fmcad13_z3_mode3	tree16_200.20	vn2_5.1	28	-1
fmcad13_z3_mode3	tree16_200.20	vn2_5.2	39	-1
fmcad13_z3_mode3	tree16_200.20	vn2_5.3	20	-1
fmcad13_z3_mode3	tree16_400.20	vn2_3.1	711	882.094197
fmcad13_z3_mode3	tree16_400.20	vn2_3.2	89	-1
fmcad13_z3_mode3	tree16_400.20	vn2_3.3	86	-1
fmcad13_z3_mode3	tree16_400.20	vn2_5.1	62	-1
fmcad13_z3_mode3	tree16_400.20	vn2_5.2	27	-1
fmcad13_z3_mode3	tree16_400.20	vn2_5.3	31	-1
fmcad13_z3_mode3	tree16_2000.20	vn2_3.1	158	-1
fmcad13_z3_mode3	tree16_2000.20	vn2_3.2	92	-1
fmcad13_z3_mode3	tree16_2000.20	vn2_3.3	94	-1
fmcad13_z3_mode3	tree16_2000.20	vn2_5.1	50	-1
fmcad13_z3_mode3	tree16_2000.20	vn2_5.2	50	-1
fmcad13_z3_mode3	tree16_2000.20	vn2_5.3	52	-1
fmcad13_z3_mode1	tree_200.20	vn2_3.1	-1	-1
fmcad13_z3_mode1	tree_200.20	vn2_3.2	-1	-1
fmcad13_z3_mode1	tree_200.20	vn2_3.3	-1	-1
fmcad13_z3_mode1	tree_200.20	vn2_5.1	-1	-1
fmcad13_z3_mode1	tree_200.20	vn2_5.2	-1	-1
fmcad13_z3_mode1	tree_200.20	vn2_5.3	-1	-1
fmcad13_z3_mode1	tree16_200.20	vn2_3.1	1	-1
fmcad13_z3_mode1	tree16_200.20	vn2_3.2	1	-1
fmcad13_z3_mode1	tree16_200.20	vn2_3.3	1	-1
fmcad13_z3_mode1	tree16_200.20	vn2_5.1	1	-1
fmcad13_z3_mode1	tree16_200.20	vn2_5.2	1	-1
fmcad13_z3_mode1	tree16_200.20	vn2_5.3	1	-1
fmcad13_z3_mode1	tree16_400.20	vn2_3.1	1	-1
fmcad13_z3_mode1	tree16_400.20	vn2_3.2	1	-1
fmcad13_z3_mode1	tree16_400.20	vn2_3.3	1	-1
fmcad13_z3_mode1	tree16_400.20	vn2_5.1	1	-1
fmcad13_z3_mode1	tree16_400.20	vn2_5.2	1	-1
fmcad13_z3_mode1	tree16_400.20	vn2_5.3	1	-1
fmcad13_z3_mode1	tree16_2000.20	vn2_3.1	1	-1
fmcad13_z3_mode1	tree16_2000.20	vn2_3.2	-1	-1
fmcad13_z3_mode1	tree16_2000.20	vn2_3.3	-1	-1
fmcad13_z3_mode1	tree16_2000.20	vn2_5.1	-1	-1
fmcad13_z3_mode1	tree16_2000.20	vn2_5.2	-1	-1
fmcad13_z3_mode1	tree16_2000.20	vn2_5.3	-1	-1
